id,country,url
113,Россия,https://api.hh.ru/areas/113
2112,Абхазия,https://api.hh.ru/areas/2112
5,Украина,https://api.hh.ru/areas/5
6,Австралия,https://api.hh.ru/areas/6
40,Казахстан,https://api.hh.ru/areas/40
7,Австрия,https://api.hh.ru/areas/7
9,Азербайджан,https://api.hh.ru/areas/9
2357,Албания,https://api.hh.ru/areas/2357
16,Беларусь,https://api.hh.ru/areas/16
2368,Алжир,https://api.hh.ru/areas/2368
28,Грузия,https://api.hh.ru/areas/28
2376,Ангола,https://api.hh.ru/areas/2376
2354,Андорра,https://api.hh.ru/areas/2354
48,Кыргызстан,https://api.hh.ru/areas/48
235,Аргентина,https://api.hh.ru/areas/235
97,Узбекистан,https://api.hh.ru/areas/97
13,Армения,https://api.hh.ru/areas/13
2110,Афганистан,https://api.hh.ru/areas/2110
6010,Багамские Острова,https://api.hh.ru/areas/6010
303,Бангладеш,https://api.hh.ru/areas/303
6359,Барбадос,https://api.hh.ru/areas/6359
2361,Бахрейн,https://api.hh.ru/areas/2361
5047,Белиз,https://api.hh.ru/areas/5047
18,Бельгия,https://api.hh.ru/areas/18
200,Болгария,https://api.hh.ru/areas/200
2228,Боливия,https://api.hh.ru/areas/2228
2358,Босния и Герцеговина,https://api.hh.ru/areas/2358
243,Бразилия,https://api.hh.ru/areas/243
6329,Бруней Даруссалам,https://api.hh.ru/areas/6329
306,Буркина Фасо,https://api.hh.ru/areas/306
21,Великобритания,https://api.hh.ru/areas/21
114,Венгрия,https://api.hh.ru/areas/114
2371,Венесуэла,https://api.hh.ru/areas/2371
203,Вьетнам,https://api.hh.ru/areas/203
2586,Габон,https://api.hh.ru/areas/2586
202,Гвинея,https://api.hh.ru/areas/202
27,Германия,https://api.hh.ru/areas/27
2435,Государство Палестина,https://api.hh.ru/areas/2435
213,Греция,https://api.hh.ru/areas/213
30,Дания,https://api.hh.ru/areas/30
311,Демократическая Республика Конго,https://api.hh.ru/areas/311
6517,Джибути,https://api.hh.ru/areas/6517
2730,Доминиканская Республика,https://api.hh.ru/areas/2730
305,Египет,https://api.hh.ru/areas/305
6367,Замбия,https://api.hh.ru/areas/6367
33,Израиль,https://api.hh.ru/areas/33
209,Индия,https://api.hh.ru/areas/209
2108,Индонезия,https://api.hh.ru/areas/2108
2365,Иордания,https://api.hh.ru/areas/2365
2232,Ирак,https://api.hh.ru/areas/2232
2227,Иран,https://api.hh.ru/areas/2227
36,Ирландия,https://api.hh.ru/areas/36
302,Исландия,https://api.hh.ru/areas/302
37,Испания,https://api.hh.ru/areas/37
38,Италия,https://api.hh.ru/areas/38
2109,Йемен,https://api.hh.ru/areas/2109
245,Камбоджа,https://api.hh.ru/areas/245
45,Канада,https://api.hh.ru/areas/45
210,Катар,https://api.hh.ru/areas/210
236,Кипр,https://api.hh.ru/areas/236
50,Китай,https://api.hh.ru/areas/50
2113,Колумбия,https://api.hh.ru/areas/2113
2380,Кооперативная Республика Гайана,https://api.hh.ru/areas/2380
2362,Королевство Саудовская Аравия,https://api.hh.ru/areas/2362
2363,Кувейт,https://api.hh.ru/areas/2363
6323,Лаос,https://api.hh.ru/areas/6323
57,Латвия,https://api.hh.ru/areas/57
2111,Ливан,https://api.hh.ru/areas/2111
6521,Острова Кайман,https://api.hh.ru/areas/6521
2106,Ливия,https://api.hh.ru/areas/2106
59,Литва,https://api.hh.ru/areas/59
2355,Лихтенштейн,https://api.hh.ru/areas/2355
206,Люксембург,https://api.hh.ru/areas/206
2359,Македония,https://api.hh.ru/areas/2359
238,Малайзия,https://api.hh.ru/areas/238
6518,Мали,https://api.hh.ru/areas/6518
